single_alert_amount_pct,single_alert_amount_abs,single_alert_t_value,alert_summary_status,single_alert_new_value,single_alert_prev_value,single_alert_status,target,"single_alert_series_signature_tags_bytecode-cached, cold, fission, webrender","single_alert_series_signature_tags_bytecode-cached, fission, warm, webrender","single_alert_series_signature_tags_cold, fission, interactive, webrender","single_alert_series_signature_tags_cold, fission, webrender","single_alert_series_signature_tags_cold, webrender","single_alert_series_signature_tags_fission, warm, webrender","single_alert_series_signature_tags_fission, webrender","single_alert_series_signature_tags_warm, webrender",single_alert_series_signature_tags_webrender,single_alert_manually_created_True,single_alert_series_signature_suite_freq
4.71,-0.48,9.06,2.0,9.6,10.08,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
9.59,0.93,9.03,5.0,10.58,9.65,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.54,-0.59,8.01,6.0,10.09,10.68,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.78,0.49,8.06,2.0,10.7,10.21,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
16.27,1.65,16.06,5.0,11.78,10.13,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.78,0.45,7.08,2.0,12.42,11.97,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
8.21,-0.98,7.83,4.0,10.91,11.89,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
21.95,2.34,23.63,5.0,13.0,10.66,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
25.7,-3.33,32.17,5.0,9.62,12.95,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.26,-5.33,7.6,5.0,230.19,235.52,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.14,-4.87,7.07,5.0,222.37,227.24,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.0,6.56,8.43,5.0,225.51,218.94,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.45,-5.21,7.54,2.0,207.26,212.47,2.0,0,False,False,False,False,False,False,False,False,False,False,0.0031686030351881704
2.13,-4.53,7.17,2.0,208.03,212.56,2.0,0,False,False,False,False,False,False,False,False,False,False,0.0031686030351881704
32.58,0.27,7.73,2.0,1.09,0.82,2.0,1,False,False,False,False,False,False,False,False,False,False,0.0031686030351881704
100.0,-0.89,1000.0,4.0,0.0,0.89,4.0,0,False,False,False,False,False,False,False,False,False,True,0.0031686030351881704
100.0,-0.87,64.38,2.0,0.0,0.87,2.0,0,False,False,False,False,False,False,False,False,False,False,0.0031686030351881704
54.0,-0.49,8.89,2.0,0.42,0.9,2.0,0,False,False,False,False,False,False,False,False,False,False,0.0031686030351881704
3.31,10.71,8.38,5.0,334.41,323.69,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.0,-5.06,7.91,2.0,247.66,252.72,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.0,-4.97,8.36,3.0,242.93,247.89,3.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.22,7.77,7.39,5.0,249.35,241.59,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.54,-0.63,7.22,5.0,10.78,11.41,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
25.77,-2.82,27.31,5.0,8.12,10.94,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.07,17.76,19.03,7.0,368.19,350.43,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.45,-23.79,25.6,2.0,345.24,369.03,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.72,40.94,8.1,7.0,1545.39,1504.45,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.86,-0.99,7.81,2.0,15.87,16.86,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
18.75,-2.96,17.99,5.0,12.84,15.81,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
27.6,149.51,95.2,5.0,691.21,541.7,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.65,-248.0,10.79,5.0,9102.19,9350.19,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.72,-517.05,8.8,4.0,8521.09,9038.14,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.4,-289.62,16.48,4.0,8233.77,8523.39,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
36.7,3008.52,39.96,5.0,11205.05,8196.53,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
25.13,-2842.33,33.43,4.0,8468.11,11310.44,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
215.69,3037.25,103.22,5.0,4445.41,1408.17,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
75.33,-3340.19,164.67,4.0,1094.07,4434.26,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
10.85,118.05,10.87,2.0,1205.7,1087.65,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
28.2,7.09,11.88,5.0,32.23,25.14,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
8.16,-2.48,9.79,5.0,27.93,30.42,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.25,-66.85,35.99,5.0,1002.09,1068.93,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
13.8,133.8,41.96,5.0,1103.6,969.8,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
11.71,-130.11,9.69,4.0,980.55,1110.66,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.26,-1.38,7.18,2.0,59.66,61.04,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
27.41,15.38,7.55,5.0,71.49,56.11,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.97,-5.0,18.31,7.0,66.74,71.73,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.59,4.4,7.81,7.0,71.19,66.79,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.73,4.5,13.34,2.0,71.35,66.85,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.26,-4.43,13.73,5.0,66.29,70.71,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
